gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
RP1-140K8.5,899.2656082,2.182151993,0.137470033,9.51E-58,2.69E-56,NA,NA,
SLC9A9,316.5648352,2.089185177,0.131548019,9.57E-58,2.70E-56,285195,solute carrier family 9 member A9,
DNAJC9,792.1318308,-1.327499723,0.083443802,1.05E-57,2.96E-56,23234,DnaJ heat shock protein family (Hsp40) member C9,
ARSJ,750.8167386,-1.428980231,0.089947327,1.36E-57,3.84E-56,79642,arylsulfatase family member J,
CENPM,958.8656368,-1.560005071,0.098343771,1.63E-57,4.56E-56,79019,centromere protein M,
PRSS16,328.4210899,1.615364748,0.101851999,1.81E-57,5.08E-56,10279,serine protease 16,
NLE1,1681.042494,-1.143402656,0.072050339,2.42E-57,6.79E-56,54475,notchless homolog 1,
SORD,1019.975954,-1.116821891,0.070365193,2.51E-57,7.03E-56,6652,sorbitol dehydrogenase,
CMB9-22P13.1,1143.333042,1.518162806,0.095854435,2.88E-57,8.05E-56,NA,NA,
UTP15,1680.047762,-1.149996366,0.072541277,3.09E-57,8.63E-56,84135,UTP15 small subunit processome component,
METTL1,1965.994292,-1.16729318,0.073675583,3.57E-57,9.94E-56,4234,"methyltransferase 1, tRNA methylguanosine",
DDB2,1794.807304,1.199363119,0.075730451,3.82E-57,1.06E-55,1643,damage specific DNA binding protein 2,
CCPG1,730.9115673,1.505726844,0.095265777,4.46E-57,1.24E-55,9236,cell cycle progression 1,
REEP4,1145.17441,-1.34707843,0.085289219,5.73E-57,1.59E-55,80346,receptor accessory protein 4,
SLC22A18,398.8935865,2.242677043,0.142329575,6.26E-57,1.73E-55,5002,solute carrier family 22 member 18,
CTD-2561J22.5,841.16047,-1.264115434,0.080176057,1.10E-56,3.02E-55,NA,NA,
NOC2L,4892.546228,-1.100153254,0.069731044,1.12E-56,3.10E-55,26155,NOC2 like nucleolar associated transcriptional repressor,
CACNG4,679.1922004,1.427605774,0.090742927,1.60E-56,4.40E-55,27092,calcium voltage-gated channel auxiliary subunit gamma 4,
RP5-1086D14.6,185.655035,-2.156882036,0.137319523,1.61E-56,4.41E-55,NA,NA,
