gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description
AC068137.13,11.77711962,-0.028547103,0.356681341,0.920747428,0.950641825,NA,NA
KLHL38,10.45668458,0.029690108,0.360722545,0.920803257,0.95066228,340359,kelch like family member 38
EPHA6,24.78597037,-0.023221645,0.261463549,0.920870042,0.950694042,285220,EPH receptor A6
CTC-558O2.1,1.24632845,-0.024411002,0.556118327,0.921147274,0.950924786,NA,NA
PIGBOS1,191.3643814,0.012184492,0.123575579,0.921165603,0.950924786,101928527,PIGB opposite strand 1
ESPNP,1.331737997,0.023516456,0.563167708,0.921841527,0.950953071,284729,espin pseudogene
RP5-1043L3.1,1.685324281,-0.025067135,0.549751229,0.921490345,0.950953071,NA,NA
AC013717.3,8.971149494,-0.028628169,0.365653453,0.921520328,0.950953071,NA,NA
AC073869.10,1.358571005,0.025575815,0.548624148,0.921281809,0.950953071,NA,NA
AC087859.1,38.07848306,0.02189989,0.236784198,0.921516572,0.950953071,NA,NA
UCHL1,378.8391673,0.009320736,0.094836791,0.92146872,0.950953071,7345,ubiquitin C-terminal hydrolase L1
CTD-2120M21.1,1.585516683,0.025750837,0.547614947,0.921488106,0.950953071,NA,NA
POPDC3,1.220076362,-0.024960464,0.551939239,0.921333247,0.950953071,64208,popeye domain cAMP effector 3
LIMK1,11293.01718,-0.009616038,0.100596054,0.921707353,0.950953071,3984,LIM domain kinase 1
CTC-756D1.2,5.497549024,-0.030038019,0.437576749,0.92175475,0.950953071,NA,NA
RPL3P9,10.53562828,0.029128404,0.357153299,0.921839027,0.950953071,100128963,ribosomal protein L3 pseudogene 9
RP11-45P22.1,14.06432407,-0.027508891,0.339095941,0.921778735,0.950953071,NA,NA
RP11-214K3.23,1.611410959,0.026480168,0.539781241,0.921686991,0.950953071,NA,NA
PLD4,3.485581187,0.030127492,0.4882481,0.921657303,0.950953071,122618,phospholipase D family member 4
NRG4,8.485317299,0.030366263,0.386970629,0.921303807,0.950953071,145957,neuregulin 4
AC079111.1,1.335850489,0.024974775,0.552677713,0.921741292,0.950953071,NA,NA
SIRT6,1216.030324,-0.011142997,0.117779165,0.921820505,0.950953071,51548,sirtuin 6
AP001412.1,3.443243629,0.030621577,0.473913946,0.921537468,0.950953071,NA,NA
RP11-466F5.3,4.579802319,-0.029795112,0.457466364,0.922006728,0.951086316,NA,NA
RPLP1,16738.82549,0.011549349,0.113467816,0.922207627,0.951256375,6176,ribosomal protein lateral stalk subunit P1
RP11-22C11.1,1.372247064,0.024986753,0.550561453,0.922292078,0.951306308,NA,NA
RP11-292O17.1,1.242431874,-0.024936205,0.548819425,0.92238674,0.951329593,NA,NA
RP11-4H14.1,1.242431874,-0.024936205,0.548819425,0.92238674,0.951329593,NA,NA
SMIM7,1604.100601,0.006460533,0.066154246,0.922443509,0.951350968,79086,small integral membrane protein 7
RP11-107N15.1,1.612398751,0.026733377,0.534134468,0.922518411,0.951391042,NA,NA
AC006033.22,1.613472822,0.02653599,0.534137141,0.923083548,0.951909577,NA,NA
RP11-118F2.2,4.636550621,-0.029359276,0.454704293,0.92309334,0.951909577,NA,NA
C1orf233,195.1616541,0.014380897,0.151672572,0.923131941,0.951912191,NA,NA
RNU2-17P,1.229371076,-0.023132228,0.560594143,0.923425863,0.951992118,106480204,"RNA, U2 small nuclear 17, pseudogene"
ABCB1,1.361970089,0.024912846,0.548625899,0.923291392,0.951992118,5243,ATP binding cassette subfamily B member 1
AC083862.6,1.59232672,0.025976809,0.539494228,0.923363548,0.951992118,NA,NA
RPS3AP35,1.229016115,-0.0240631,0.553639098,0.923402573,0.951992118,100271261,RPS3A pseudogene 35
RPL13AP6,24.84983105,0.0216728,0.248657858,0.923423598,0.951992118,644511,ribosomal protein L13a pseudogene 6
RP11-25I15.1,10.72677335,0.027855831,0.34087424,0.923354355,0.951992118,NA,NA
RP11-162G10.1,1.966130417,-0.025814654,0.535303606,0.923469024,0.951999431,NA,NA
AC079807.1,5.835061417,0.030224501,0.425143456,0.923561658,0.952026878,NA,NA
AC005954.3,2.2381201,-0.025649812,0.535679241,0.923567788,0.952026878,NA,NA
RP11-597D13.9,31.62145126,-0.020233826,0.230675897,0.923632256,0.952050132,NA,NA
NKX2-8,36.14863374,-0.023286728,0.276372248,0.923662489,0.952050132,26257,NK2 homeobox 8
RP1-221C16.7,1.347426858,0.023903604,0.555843926,0.923751539,0.952104737,NA,NA
RP11-635I10.1,1.22682547,-0.022267924,0.56574096,0.923790175,0.952107379,NA,NA
RP11-420H19.3,1.568267157,0.025542958,0.542463054,0.923899478,0.952182851,NA,NA
RP5-827C21.1,5.126246911,-0.0290955,0.442845691,0.923961237,0.95220932,NA,NA
AP006216.12,1.215749445,-0.021924582,0.567460827,0.924129424,0.952345463,NA,NA
AC079880.1,1.360896018,0.02436338,0.550416092,0.924346412,0.952502767,NA,NA
VIP,1.612985373,0.025109873,0.54437854,0.924354243,0.952502767,7432,vasoactive intestinal peptide
GSDMA,1.392058795,0.023941124,0.553248355,0.924406577,0.952519508,284110,gasdermin A
MRPL53,107.6358579,0.013546927,0.14542873,0.924522426,0.95260169,116540,mitochondrial ribosomal protein L53
ART4,1.591693889,0.025534093,0.539473614,0.924677813,0.95269018,420,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)
RP1-212G6.4,1.211710337,-0.023192281,0.557640338,0.924680497,0.95269018,NA,NA
IRF2BP1,449.1645549,-0.012190092,0.133683995,0.924743168,0.95271756,26145,interferon regulatory factor 2 binding protein 1
RP11-463O12.5,39.42940712,-0.021693697,0.256949983,0.924803457,0.952742484,NA,NA
KB-1410C5.4,1.582747579,0.024123088,0.551745754,0.925022773,0.952931231,NA,NA
AC144530.1,18.12102784,-0.02494799,0.313180732,0.925183243,0.953016751,NA,NA
RP11-152N13.8,3.207874819,0.028306844,0.500257327,0.92521411,0.953016751,NA,NA
PPIAP10,1.203400564,-0.022083862,0.564565888,0.925191635,0.953016751,140913,peptidylprolyl isomerase A pseudogene 10
RP11-173B14.5,1.268193662,-0.022808355,0.558123349,0.925253995,0.953020641,NA,NA
IAH1,2140.532351,0.009283026,0.100575499,0.925616557,0.95302208,285148,isoamyl acetate hydrolyzing esterase 1 (putative)
BOD1,3336.719843,-0.005311337,0.059114029,0.925380703,0.95302208,91272,biorientation of chromosomes in cell division 1
DTNBP1,434.6379738,-0.008014323,0.088184524,0.925434085,0.95302208,84062,dystrobrevin binding protein 1
AC139143.1,10.97954363,0.026964496,0.33794588,0.925457757,0.95302208,NA,NA
RP11-214F16.2,3.212917633,0.028292408,0.496603196,0.925652574,0.95302208,NA,NA
AC005306.3,1.481790732,-0.023118426,0.554687569,0.925636308,0.95302208,NA,NA
CTB-129P6.7,4.853314621,-0.028512192,0.438799489,0.925566755,0.95302208,NA,NA
CTD-3099C6.11,106.8055923,-0.013565642,0.151602219,0.925565943,0.95302208,NA,NA
SNAP23P,1.34885401,0.022094738,0.564845034,0.925638883,0.95302208,NA,NA
PI4KA,3140.732311,-0.010117698,0.108277282,0.925575905,0.95302208,5297,phosphatidylinositol 4-kinase alpha
RP13-36G14.2,2.714587547,-0.026236551,0.519491425,0.925460024,0.95302208,NA,NA
RP1-298J18.1,8.630815055,-0.027151196,0.36718021,0.925738496,0.953073366,NA,NA
C11orf91,1.863195267,0.026166565,0.527762049,0.925853714,0.953154807,100131378,chromosome 11 open reading frame 91
CTD-2210P15.1,4.994613572,-0.028356763,0.450287135,0.925976318,0.953243845,NA,NA
RP11-161N3.3,1.248827847,-0.022840684,0.556086985,0.926143901,0.953379178,NA,NA
CTGLF8P,3.732128902,0.028878295,0.471429969,0.926181695,0.9533809,NA,NA
COX4I1,16397.88351,0.007419654,0.082188467,0.926255055,0.953419231,1327,cytochrome c oxidase subunit 4I1
AP005232.1,1.277856231,-0.021065195,0.567978312,0.926316718,0.953445519,NA,NA
