category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,11/783,60/6540,0.18333333333333332,1.5312899106002553,1.524607759584951,0.09718897190203554,0.4801425328294592,0.43212064490614394,23710/18/2788/778/5582/57468/196883/6539/11337/10991/5334,11
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,28/783,184/6540,0.15217391304347827,1.2710311510911212,1.375227701338304,0.1062243637195018,0.5170627116346337,0.46534821877119215,6696/10398/3690/7059/3913/10451/3694/3691/1278/1298/1277/3696/3674/5582/5155/7148/91807/1286/25759/7448/58498/5159/5602/1299/5923/1285/7450/10319,28
Metabolism,Metabolism of other amino acids,hsa00430,Taurine and hypotaurine metabolism,3/783,10/6540,0.3,2.5057471264367814,1.7572513570765667,0.10795016297637765,0.5178478832634927,0.46605486075232466,2678/2329/2330,3
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,14/783,84/6540,0.16666666666666666,1.392081736909323,1.3337453876970344,0.12414399296766802,0.5815632913115466,0.523397714870942,7042/718/3593/6347/6352/7124/7097/3569/5602/23236/3553/3456/919/9630,14
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,9/783,49/6540,0.1836734693877551,1.5341308937368052,1.3839753928091525,0.12474620448072452,0.5815632913115466,0.523397714870942,978/7378/1890/1571/2946/2938/51733/2939/1807,9
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,20/783,128/6540,0.15625,1.3050766283524904,1.28545122054428,0.12707051469527925,0.5841713939463532,0.525744965771404,10398/8654/489/4205/4776/477/3643/4846/4882/6543/8660/4881/778/84699/4985/196883/23533/91807/4879/23236,20
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,7/783,36/6540,0.19444444444444445,1.6240953597275438,1.3846830391372313,0.13152944891630675,0.5962879712212904,0.5366496926558283,1545/3620/1543/259307/26/1544/169355,7
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,9/783,50/6540,0.18,1.503448275862069,1.31781955172872,0.13695514138725579,0.5962879712212904,0.5366496926558283,4758/5660/2581/79603/8611/123099/129807/9514/10715,9
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,10/783,57/6540,0.17543859649122806,1.4653491967466556,1.301268211565763,0.13751056354829283,0.5962879712212904,0.5366496926558283,5465/376497/1593/729359/6319/3157/440503/5346/364/948,10
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,23/783,152/6540,0.1513157894736842,1.2638636821939906,1.213828677887421,0.13919995033526478,0.5962879712212904,0.5366496926558283,6773/3690/8764/3133/718/3593/4939/3134/4938/317/6041/6347/3665/8740/10379/6352/7124/25833/7097/7098/3569/3553/3456,23
